"","age","sex","date","responsetime1","responsetime2","still1","still2","method","sideCile1","sideCile2","picked_ball1","picked_ball2","condition","trial","correct_first","correct_second","correct_all","id","agecat"
"83",5,"male","2021-10-25_10h11.22.899",4.7972,5.7555,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","left","complex labeling",8,1,1,1,"complex labeling_2021-10-25_10h11.22.899","child"
"88",6,"female","2021-10-25_13h22.38.136",9.9145,6.1012,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","left","complex labeling",1,0,0,0,"complex labeling_2021-10-25_13h22.38.136","child"
"89",6,"female","2021-10-25_13h22.38.136",6.9026,8.0727,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","blossin","left","right","right","right","complex labeling",2,1,0,0,"complex labeling_2021-10-25_13h22.38.136","child"
"90",6,"female","2021-10-25_13h22.38.136",5.6695,9.441,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","blossin","left","right","right","left","complex labeling",3,1,1,1,"complex labeling_2021-10-25_13h22.38.136","child"
"91",6,"female","2021-10-25_13h22.38.136",4.7793,4.6216,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","blossin","left","right","right","left","complex labeling",4,0,0,0,"complex labeling_2021-10-25_13h22.38.136","child"
"92",6,"female","2021-10-25_13h22.38.136",4.5815,4.4862,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","right","complex labeling",5,1,1,1,"complex labeling_2021-10-25_13h22.38.136","child"
"93",6,"female","2021-10-25_13h22.38.136",5.0711,4.8294,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","left","right","complex labeling",6,0,0,0,"complex labeling_2021-10-25_13h22.38.136","child"
"94",6,"female","2021-10-25_13h22.38.136",6.9008,5.0655,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","left","complex labeling",7,0,0,0,"complex labeling_2021-10-25_13h22.38.136","child"
"95",6,"female","2021-10-25_13h22.38.136",4.3553,3.8483,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","right","complex labeling",8,0,0,0,"complex labeling_2021-10-25_13h22.38.136","child"
"100",5,"female","2021-10-25_13h36.43.623",51.205,8.3402,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","right","complex labeling",1,1,1,1,"complex labeling_2021-10-25_13h36.43.623","child"
