"","age","sex","date","responsetime1","responsetime2","still1","still2","method","sideCile1","sideCile2","picked_ball1","picked_ball2","condition","trial","correct_first","correct_second","correct_all","id","agecat"
"7010",49,"female","2021-03-04_22h02.40.351",3.488,3.387,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","right","left","complex labeling",8,1,1,1,"complex labeling_2021-03-04_22h02.40.351","adult"
"73",44,"female","2021-03-05_09h52.36.673",6.331305,3.713415,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","left","right","complex labeling",1,1,1,1,"complex labeling_2021-03-05_09h52.36.673","adult"
"74",44,"female","2021-03-05_09h52.36.673",4.203885,3.58105,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","right","left","complex labeling",2,1,1,1,"complex labeling_2021-03-05_09h52.36.673","adult"
"75",44,"female","2021-03-05_09h52.36.673",3.59043,3.491595,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","right","left","complex labeling",3,1,1,1,"complex labeling_2021-03-05_09h52.36.673","adult"
"768",44,"female","2021-03-05_09h52.36.673",3.637115,3.382125,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","right","left","complex labeling",4,1,1,1,"complex labeling_2021-03-05_09h52.36.673","adult"
"771",44,"female","2021-03-05_09h52.36.673",2.84868,6.21509,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","left","right","complex labeling",5,1,1,1,"complex labeling_2021-03-05_09h52.36.673","adult"
"781",44,"female","2021-03-05_09h52.36.673",3.86211,4.04717,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","left","right","complex labeling",6,1,1,1,"complex labeling_2021-03-05_09h52.36.673","adult"
"792",44,"female","2021-03-05_09h52.36.673",4.47845,3.64591,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","left","right","complex labeling",7,1,1,1,"complex labeling_2021-03-05_09h52.36.673","adult"
"804",44,"female","2021-03-05_09h52.36.673",4.439525,3.68066,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","right","left","complex labeling",8,1,1,1,"complex labeling_2021-03-05_09h52.36.673","adult"
"831",62,"female","2021-03-05_18h54.34.817",7.712,3.591,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","left","right","complex labeling",1,1,1,1,"complex labeling_2021-03-05_18h54.34.817","adult"
"84",62,"female","2021-03-05_18h54.34.817",4.07,4.123,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","left","right","complex labeling",2,1,1,1,"complex labeling_2021-03-05_18h54.34.817","adult"
"85",62,"female","2021-03-05_18h54.34.817",3.325,3.74,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","left","right","complex labeling",3,1,1,1,"complex labeling_2021-03-05_18h54.34.817","adult"
"86",62,"female","2021-03-05_18h54.34.817",5.707,3.657,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","right","left","complex labeling",4,1,1,1,"complex labeling_2021-03-05_18h54.34.817","adult"
"87",62,"female","2021-03-05_18h54.34.817",3.559,2.933,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","right","left","complex labeling",5,1,1,1,"complex labeling_2021-03-05_18h54.34.817","adult"
"888",62,"female","2021-03-05_18h54.34.817",4.076,3.876,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","right","left","complex labeling",6,1,1,1,"complex labeling_2021-03-05_18h54.34.817","adult"
"891",62,"female","2021-03-05_18h54.34.817",3.909,3.625,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","right","left","complex labeling",7,1,1,1,"complex labeling_2021-03-05_18h54.34.817","adult"
"901",62,"female","2021-03-05_18h54.34.817",3.843,4.212,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","left","right","complex labeling",8,1,1,1,"complex labeling_2021-03-05_18h54.34.817","adult"
"936",31,"female","2021-03-06_12h17.18.178",5.663,4.412,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","right","left","complex labeling",1,1,1,1,"complex labeling_2021-03-06_12h17.18.178","adult"
"948",31,"female","2021-03-06_12h17.18.178",3.546,4.107,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","left","right","complex labeling",2,1,1,1,"complex labeling_2021-03-06_12h17.18.178","adult"
"951",31,"female","2021-03-06_12h17.18.178",5.082,6.491,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","right","left","complex labeling",3,1,1,1,"complex labeling_2021-03-06_12h17.18.178","adult"
"96",31,"female","2021-03-06_12h17.18.178",3.344,3.944,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","left","right","complex labeling",4,1,1,1,"complex labeling_2021-03-06_12h17.18.178","adult"
"97",31,"female","2021-03-06_12h17.18.178",4.913,4.279,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","left","right","complex labeling",5,1,1,1,"complex labeling_2021-03-06_12h17.18.178","adult"
"98",31,"female","2021-03-06_12h17.18.178",3.895,3.612,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","right","left","complex labeling",6,1,1,1,"complex labeling_2021-03-06_12h17.18.178","adult"
"99",31,"female","2021-03-06_12h17.18.178",6.624,4.129,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","left","right","complex labeling",7,1,1,1,"complex labeling_2021-03-06_12h17.18.178","adult"
"1008",31,"female","2021-03-06_12h17.18.178",4.113,3.891,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","right","left","complex labeling",8,1,1,1,"complex labeling_2021-03-06_12h17.18.178","adult"
"1031",46,"male","2021-03-06_21h50.04.424",5.26,8.807,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","right","left","complex labeling",1,1,1,1,"complex labeling_2021-03-06_21h50.04.424","adult"
"1041",46,"male","2021-03-06_21h50.04.424",6.665,6.372,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","right","left","complex labeling",2,1,1,1,"complex labeling_2021-03-06_21h50.04.424","adult"
"1051",46,"male","2021-03-06_21h50.04.424",14.454,7.291,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","right","left","complex labeling",3,1,1,1,"complex labeling_2021-03-06_21h50.04.424","adult"
"1061",46,"male","2021-03-06_21h50.04.424",6.189,5.686,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","left","right","complex labeling",4,1,1,1,"complex labeling_2021-03-06_21h50.04.424","adult"
"1071",46,"male","2021-03-06_21h50.04.424",6.393,4.769,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","left","right","complex labeling",5,1,1,1,"complex labeling_2021-03-06_21h50.04.424","adult"
"108",46,"male","2021-03-06_21h50.04.424",7.44,6.959,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","left","right","complex labeling",6,1,1,1,"complex labeling_2021-03-06_21h50.04.424","adult"
"109",46,"male","2021-03-06_21h50.04.424",7.808,11.309,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","right","left","complex labeling",7,1,1,1,"complex labeling_2021-03-06_21h50.04.424","adult"
"110",46,"male","2021-03-06_21h50.04.424",6.119,6.153,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","left","right","complex labeling",8,1,1,1,"complex labeling_2021-03-06_21h50.04.424","adult"
"1131",39,"female","2021-03-09_11h52.52.451",6.187,6.066,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","right","left","complex labeling",1,1,1,1,"complex labeling_2021-03-09_11h52.52.451","adult"
"1141",39,"female","2021-03-09_11h52.52.451",3.59,4.222,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","left","right","complex labeling",2,1,1,1,"complex labeling_2021-03-09_11h52.52.451","adult"
"1151",39,"female","2021-03-09_11h52.52.451",7.12,4.012,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","left","right","complex labeling",3,1,1,1,"complex labeling_2021-03-09_11h52.52.451","adult"
"1161",39,"female","2021-03-09_11h52.52.451",5.158,3.527,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","right","left","complex labeling",4,1,1,1,"complex labeling_2021-03-09_11h52.52.451","adult"
"1171",39,"female","2021-03-09_11h52.52.451",3.8,3.557,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","right","left","complex labeling",5,1,1,1,"complex labeling_2021-03-09_11h52.52.451","adult"
"1181",39,"female","2021-03-09_11h52.52.451",3.498,3.287,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","right","left","complex labeling",6,1,1,1,"complex labeling_2021-03-09_11h52.52.451","adult"
"1191",39,"female","2021-03-09_11h52.52.451",3.197,3.773,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","left","right","complex labeling",7,1,1,1,"complex labeling_2021-03-09_11h52.52.451","adult"
"120",39,"female","2021-03-09_11h52.52.451",4.315,3.74,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","left","right","complex labeling",8,1,1,1,"complex labeling_2021-03-09_11h52.52.451","adult"
"123",23,"female","2021-03-09_16h03.47.743",7.026275,5.57727,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","right","left","complex labeling",1,1,1,1,"complex labeling_2021-03-09_16h03.47.743","adult"
"1241",23,"female","2021-03-09_16h03.47.743",4.560405,3.59466,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","right","left","complex labeling",2,1,1,1,"complex labeling_2021-03-09_16h03.47.743","adult"
"1251",23,"female","2021-03-09_16h03.47.743",5.62678,4.06115,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","left","right","complex labeling",3,1,1,1,"complex labeling_2021-03-09_16h03.47.743","adult"
"1261",23,"female","2021-03-09_16h03.47.743",3.728295,4.39462,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","left","right","complex labeling",4,1,1,1,"complex labeling_2021-03-09_16h03.47.743","adult"
"1271",23,"female","2021-03-09_16h03.47.743",3.878175,3.56124,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","right","left","complex labeling",5,1,1,1,"complex labeling_2021-03-09_16h03.47.743","adult"
"1281",23,"female","2021-03-09_16h03.47.743",4.65127,4.900695,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","left","right","complex labeling",6,1,1,1,"complex labeling_2021-03-09_16h03.47.743","adult"
"1291",23,"female","2021-03-09_16h03.47.743",4.594505,3.628525,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","right","left","complex labeling",7,1,1,1,"complex labeling_2021-03-09_16h03.47.743","adult"
"1301",23,"female","2021-03-09_16h03.47.743",4.111485,5.211895,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","left","left","complex labeling",8,1,0,0,"complex labeling_2021-03-09_16h03.47.743","adult"
"133",42,"male","2021-04-01_12h36.23.645",4.529,12.182,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","left","left","complex labeling",1,0,1,0,"complex labeling_2021-04-01_12h36.23.645","adult"
"134",42,"male","2021-04-01_12h36.23.645",3.56,4.529,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","right","left","complex labeling",2,1,1,1,"complex labeling_2021-04-01_12h36.23.645","adult"
"135",42,"male","2021-04-01_12h36.23.645",3.809,3.622,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","left","right","complex labeling",3,1,1,1,"complex labeling_2021-04-01_12h36.23.645","adult"
"1361",42,"male","2021-04-01_12h36.23.645",4.218,5.841,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","left","right","complex labeling",4,1,1,1,"complex labeling_2021-04-01_12h36.23.645","adult"
"1371",42,"male","2021-04-01_12h36.23.645",3.497,3.872,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","left","right","complex labeling",5,1,1,1,"complex labeling_2021-04-01_12h36.23.645","adult"
"1381",42,"male","2021-04-01_12h36.23.645",4.529,3.342,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","right","left","complex labeling",6,1,1,1,"complex labeling_2021-04-01_12h36.23.645","adult"
"1391",42,"male","2021-04-01_12h36.23.645",2.718,3.435,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","left","right","complex labeling",7,1,1,1,"complex labeling_2021-04-01_12h36.23.645","adult"
"1401",42,"male","2021-04-01_12h36.23.645",3.31,3.06,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","right","left","complex labeling",8,1,1,1,"complex labeling_2021-04-01_12h36.23.645","adult"
"1431",40,"male","2021-04-02_12h35.40.714",5.226,6.665,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","left","right","complex labeling",1,1,1,1,"complex labeling_2021-04-02_12h35.40.714","adult"
"144",40,"male","2021-04-02_12h35.40.714",6.435,3.357,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","right","left","complex labeling",2,1,1,1,"complex labeling_2021-04-02_12h35.40.714","adult"
"145",40,"male","2021-04-02_12h35.40.714",3.478,3.87,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","left","right","complex labeling",3,1,1,1,"complex labeling_2021-04-02_12h35.40.714","adult"
"146",40,"male","2021-04-02_12h35.40.714",4.72,3.768,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","left","right","complex labeling",4,1,1,1,"complex labeling_2021-04-02_12h35.40.714","adult"
"147",40,"male","2021-04-02_12h35.40.714",4.048,4.352,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","left","right","complex labeling",5,1,1,1,"complex labeling_2021-04-02_12h35.40.714","adult"
"1481",40,"male","2021-04-02_12h35.40.714",4.594,3.332,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","right","left","complex labeling",6,1,1,1,"complex labeling_2021-04-02_12h35.40.714","adult"
"1491",40,"male","2021-04-02_12h35.40.714",5.212,4.017,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","right","left","complex labeling",7,1,1,1,"complex labeling_2021-04-02_12h35.40.714","adult"
"1501",40,"male","2021-04-02_12h35.40.714",4.709,3.525,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","right","left","complex labeling",8,1,1,1,"complex labeling_2021-04-02_12h35.40.714","adult"
"1531",33,"female","2021-05-19_17h13.42.929",5.1934,4.2173,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","right","left","complex labeling",1,1,1,1,"complex labeling_2021-05-19_17h13.42.929","adult"
"1541",33,"female","2021-05-19_17h13.42.929",5.9929,4.0016,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","left","right","complex labeling",2,1,1,1,"complex labeling_2021-05-19_17h13.42.929","adult"
"1551",33,"female","2021-05-19_17h13.42.929",4.3481,4.5857,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","left","right","complex labeling",3,1,1,1,"complex labeling_2021-05-19_17h13.42.929","adult"
"156",33,"female","2021-05-19_17h13.42.929",4.5825,4.0017,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","left","right","complex labeling",4,1,1,1,"complex labeling_2021-05-19_17h13.42.929","adult"
"157",33,"female","2021-05-19_17h13.42.929",4.3465,6.671,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","right","left","complex labeling",5,1,1,1,"complex labeling_2021-05-19_17h13.42.929","adult"
"158",33,"female","2021-05-19_17h13.42.929",4.2935,3.7645,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","right","left","complex labeling",6,1,1,1,"complex labeling_2021-05-19_17h13.42.929","adult"
"159",33,"female","2021-05-19_17h13.42.929",4.8082,5.0585,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","right","left","complex labeling",7,1,1,1,"complex labeling_2021-05-19_17h13.42.929","adult"
"1601",33,"female","2021-05-19_17h13.42.929",4.0692,3.9071,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","left","right","complex labeling",8,1,1,1,"complex labeling_2021-05-19_17h13.42.929","adult"
"1631",20,"female","2021-05-19_18h21.18.663",12.2399,9.4202,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","right","right","complex labeling",1,0,1,0,"complex labeling_2021-05-19_18h21.18.663","adult"
"1641",20,"female","2021-05-19_18h21.18.663",3.7011,6.1542,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","right","right","complex labeling",2,0,1,0,"complex labeling_2021-05-19_18h21.18.663","adult"
"1651",20,"female","2021-05-19_18h21.18.663",5.3628,7.1537,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","left","right","complex labeling",3,1,1,1,"complex labeling_2021-05-19_18h21.18.663","adult"
"1661",20,"female","2021-05-19_18h21.18.663",4.5978,4.1923,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","right","left","complex labeling",4,1,1,1,"complex labeling_2021-05-19_18h21.18.663","adult"
"1671",20,"female","2021-05-19_18h21.18.663",3.394,4.2473,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","right","left","complex labeling",5,1,1,1,"complex labeling_2021-05-19_18h21.18.663","adult"
"168",20,"female","2021-05-19_18h21.18.663",4.9014,5.1421,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","right","left","complex labeling",6,1,1,1,"complex labeling_2021-05-19_18h21.18.663","adult"
"169",20,"female","2021-05-19_18h21.18.663",4.0967,7.2246,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","right","left","complex labeling",7,1,1,1,"complex labeling_2021-05-19_18h21.18.663","adult"
"170",20,"female","2021-05-19_18h21.18.663",4.681,4.521,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","left","left","complex labeling",8,1,0,0,"complex labeling_2021-05-19_18h21.18.663","adult"
"1731",21,"female","2021-05-19_18h28.51.709",3.378,3.9948,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","left","right","complex labeling",1,1,1,1,"complex labeling_2021-05-19_18h28.51.709","adult"
"1741",21,"female","2021-05-19_18h28.51.709",3.9292,3.9516,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","right","left","complex labeling",2,1,1,1,"complex labeling_2021-05-19_18h28.51.709","adult"
"1751",21,"female","2021-05-19_18h28.51.709",4.0576,3.9434,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","right","left","complex labeling",3,1,1,1,"complex labeling_2021-05-19_18h28.51.709","adult"
"1761",21,"female","2021-05-19_18h28.51.709",4.8198,4.214,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","left","right","complex labeling",4,1,1,1,"complex labeling_2021-05-19_18h28.51.709","adult"
"1771",21,"female","2021-05-19_18h28.51.709",4.1828,4.1084,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","right","left","complex labeling",5,1,1,1,"complex labeling_2021-05-19_18h28.51.709","adult"
"1781",21,"female","2021-05-19_18h28.51.709",4.4809,4.335,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","left","right","complex labeling",6,1,1,1,"complex labeling_2021-05-19_18h28.51.709","adult"
"1791",21,"female","2021-05-19_18h28.51.709",5.0381,4.0574,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","right","left","complex labeling",7,1,1,1,"complex labeling_2021-05-19_18h28.51.709","adult"
"180",21,"female","2021-05-19_18h28.51.709",3.4876,3.9484,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","left","right","complex labeling",8,1,1,1,"complex labeling_2021-05-19_18h28.51.709","adult"
"183",24,"female","2021-05-21_14h34.42.254",20.98,37.62,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","left","right","complex labeling",1,1,1,1,"complex labeling_2021-05-21_14h34.42.254","adult"
"1841",24,"female","2021-05-21_14h34.42.254",5.934,3.799,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","right","left","complex labeling",2,1,1,1,"complex labeling_2021-05-21_14h34.42.254","adult"
"1851",24,"female","2021-05-21_14h34.42.254",3.541,3.581,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","left","right","complex labeling",3,1,1,1,"complex labeling_2021-05-21_14h34.42.254","adult"
"1861",24,"female","2021-05-21_14h34.42.254",4.884,3.511,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","right","left","complex labeling",4,1,1,1,"complex labeling_2021-05-21_14h34.42.254","adult"
"1871",24,"female","2021-05-21_14h34.42.254",4.402,4.017,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","left","right","complex labeling",5,1,1,1,"complex labeling_2021-05-21_14h34.42.254","adult"
"1881",24,"female","2021-05-21_14h34.42.254",3.766,3.8,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","right","left","complex labeling",6,1,1,1,"complex labeling_2021-05-21_14h34.42.254","adult"
"1891",24,"female","2021-05-21_14h34.42.254",4.251,4.177,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","left","right","complex labeling",7,1,1,1,"complex labeling_2021-05-21_14h34.42.254","adult"
"1901",24,"female","2021-05-21_14h34.42.254",3.6,3.423,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","right","left","complex labeling",8,1,1,1,"complex labeling_2021-05-21_14h34.42.254","adult"
"193",54,"female","2021-05-23_12h54.03.889",7.148,3.311,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","right","left","complex labeling",1,1,1,1,"complex labeling_2021-05-23_12h54.03.889","adult"
"194",54,"female","2021-05-23_12h54.03.889",4.648,3.099,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","right","left","complex labeling",2,1,1,1,"complex labeling_2021-05-23_12h54.03.889","adult"
